Time	UTC	GPS_lat(deg)	GPS_long(deg)	GVF:ke	GVF:s	GVF:omega	GVF:omega_d	GVF:t_norm	GVF:n_norm	GVF:error	GVF:phi	DATALINK_REPORT:downlink_ovrn	DATALINK_REPORT:uplink_rate	DATALINK_REPORT:downlink_rate	DATALINK_REPORT:downlink_nb_msgs	DATALINK_REPORT:uplink_nb_msgs	DATALINK_REPORT:uplink_lost_time	NAVIGATION:block_time	NAVIGATION:flight_time	NAVIGATION:dist_home	NAVIGATION:pos_y	NAVIGATION:pos_x	NAVIGATION:cur_block	GPS:speed	ATTITUDE:theta	ATTITUDE:psi	ATTITUDE:phi
332.273	08:54:16.273	37.297156831	-3.683103891	0.8	1	0.587301	0.118587	0.035369	0.043385	1.533264	1.533264	0	0	548	4267	48	4	14	0	48.4	-37.2	-32.2	3	948	0.094598	-0.026946	0.004509
332.523	08:54:16.523	37.297180945	-3.683111330	0.8	1	0.692201	0.16917	0.034652	0.039682	1.43148	1.43148	0	0	548	4267	48	4	0	1	44.	-29.8	-33.6	4	1236	0.094598	-0.026946	0.004509
332.773	08:54:16.773	37.297210112	-3.683117913	0.8	1	0.735147	0.196977	0.03389	0.035946	1.325822	1.325822	0	0	548	4267	48	4	0	1	44.	-29.8	-33.6	4	1359	0.319014	-0.049561	0.052346
333.023	08:54:17.023	37.297241615	-3.683125757	0.8	1	0.782784	0.22887	0.033067	0.032119	1.214171	1.214171	0	0	548	4267	48	4	0	1	44.	-29.8	-33.6	4	1485	0.319014	-0.049561	0.052346
333.273	08:54:17.273	37.297275553	-3.683133398	0.8	1	0.821212	0.252277	0.032198	0.028318	1.099352	1.099352	0	0	548	4267	48	4	0	1	44.	-29.8	-33.6	4	1542	0.347804	-0.106837	0.015982
333.523	08:54:17.523	37.297309672	-3.683140815	0.8	1	0.846075	0.267179	0.031329	0.024752	0.987574	0.987574	0	0	548	4267	48	4	1	2	38.5	-15.5	-36.1	4	1546	0.347804	-0.106837	0.015982
333.773	08:54:17.773	37.297344246	-3.683147671	0.8	1	0.873341	0.283744	0.030421	0.021272	0.874068	0.874068	0	0	548	4267	48	4	1	2	38.5	-15.5	-36.1	4	1556	0.295521	-0.134189	0.023509
334.023	08:54:18.023	37.297379092	-3.683154079	0.8	1	0.897886	0.301078	0.029584	0.018277	0.772265	0.772265	0	0	548	4267	48	4	1	2	38.5	-15.5	-36.1	4	1581	0.295521	-0.134189	0.023509
334.273	08:54:18.273	37.297414395	-3.683159589	0.8	1	0.916248	0.31635	0.028752	0.015503	0.673997	0.673997	0	0	548	4267	48	4	1	2	38.5	-15.5	-36.1	4	1600	0.281152	-0.109237	0.007265
334.523	08:54:18.523	37.297450592	-3.683166122	0.8	1	0.937511	0.338271	0.027867	0.012765	0.572594	0.572594	0	0	856	4385	49	4	3	3	37.7	0.	-38.2	4	1655	0.281152	-0.109237	0.007265
334.773	08:54:18.773	37.297487147	-3.683173335	0.8	1	0.928817	0.334102	0.026986	0.010249	0.474713	0.474713	0	0	856	4385	49	4	3	3	37.7	0.	-38.2	4	1595	0.329389	-0.093613	-0.003015
335.023	08:54:19.023	37.297523618	-3.683179306	0.8	1	0.933091	0.351606	0.026084	0.007883	0.377748	0.377748	0	0	856	4385	49	4	3	3	37.7	0.	-38.2	4	1654	0.329389	-0.093613	-0.003015
335.273	08:54:19.273	37.297560536	-3.683186071	0.8	1	0.907549	0.341776	0.025174	0.005705	0.283299	0.283299	0	0	856	4385	49	4	3	3	37.7	0.	-38.2	4	1595	0.327986	-0.113245	-0.004136
335.523	08:54:19.523	37.297597008	-3.683191930	0.8	1	0.899086	0.353317	0.024385	0.003982	0.204116	0.204116	0	0	856	4385	49	4	4	4	43.2	16.2	-40.4	4	1649	0.327986	-0.113245	-0.004136
335.773	08:54:19.773	37.297633573	-3.683197338	0.8	1	0.859413	0.342883	0.023525	0.002271	0.120679	0.120679	0	0	856	4385	49	4	4	4	43.2	16.2	-40.4	4	1613	0.352394	-0.093083	0.052354
336.023	08:54:20.023	37.297669961	-3.683202180	0.8	1	0.8298	0.339806	0.022731	0.000843	0.046353	0.046353	0	0	856	4385	49	4	4	4	43.2	16.2	-40.4	4	1616	0.352394	-0.093083	0.052354
336.273	08:54:20.273	37.297706261	-3.683206570	0.8	1	0.789159	0.335205	0.021965	-0.000404	-0.023009	-0.023009	0	0	856	4385	49	4	4	4	43.2	16.2	-40.4	4	1620	0.335672	-0.049733	0.04318
336.523	08:54:20.523	37.297742924	-3.683210625	0.8	1	0.750866	0.332594	0.021223	-0.001493	-0.087908	-0.087908	0	0	856	4385	49	4	5	5	52.9	32.5	-41.9	4	1635	0.335672	-0.049733	0.04318
336.773	08:54:20.773	37.297780668	-3.683214690	0.8	1	0.721044	0.33722	0.020455	-0.002499	-0.152688	-0.152688	0	0	856	4385	49	4	5	5	52.9	32.5	-41.9	4	1685	0.341002	-0.100448	-0.004423
337.023	08:54:21.023	37.297818501	-3.683218981	0.8	1	0.656482	0.321186	0.019714	-0.003359	-0.21298	-0.21298	0	0	856	4385	49	4	5	5	52.9	32.5	-41.9	4	1635	0.341002	-0.100448	-0.004423
337.273	08:54:21.273	37.297855801	-3.683221913	0.8	1	0.605618	0.31656	0.019058	-0.004033	-0.264503	-0.264503	0	0	856	4385	49	4	5	5	52.9	32.5	-41.9	4	1637	0.367876	-0.068403	0.018166
337.523	08:54:21.523	37.297893195	-3.683224283	0.8	1	0.554475	0.314796	0.018409	-0.00462	-0.313714	-0.313714	0	0	856	4385	49	4	6	6	65.5	49.2	-43.	4	1650	0.367876	-0.068403	0.018166
337.773	08:54:21.773	37.297930495	-3.683227215	0.8	1	0.502354	0.309289	0.017793	-0.005109	-0.358931	-0.358931	0	0	856	4385	49	4	6	6	65.5	49.2	-43.	4	1637	0.340152	-0.048748	0.05548
338.023	08:54:22.023	37.297967347	-3.683229692	0.8	1	0.456244	0.307977	0.017254	-0.005482	-0.397125	-0.397125	0	0	856	4385	49	4	6	6	65.5	49.2	-43.	4	1640	0.340152	-0.048748	0.05548
338.273	08:54:22.273	37.298004386	-3.683231156	0.8	1	0.395041	0.307063	0.016751	-0.005786	-0.431778	-0.431778	0	0	856	4385	49	4	6	6	65.5	49.2	-43.	4	1651	0.357938	0.016458	0.349916
338.523	08:54:22.523	37.298040985	-3.683230584	0.8	1	0.30169	0.293966	0.01639	-0.005979	-0.455989	-0.455989	0	0	856	4385	49	4	7	7	78.8	65.5	-43.4	4	1616	0.357938	0.016458	0.349916
338.773	08:54:22.773	37.298076430	-3.683226956	0.8	1	0.19321	0.274225	0.016085	-0.006126	-0.476102	-0.476102	0	0	856	4385	49	4	7	7	78.8	65.5	-43.4	4	1567	0.373085	0.159958	0.364105
339.023	08:54:23.023	37.298110718	-3.683220834	0.8	1	0.107746	0.255279	0.015953	-0.006185	-0.484635	-0.484635	0	0	856	4385	49	4	7	7	78.8	65.5	-43.4	4	1528	0.373085	0.159958	0.364105
339.273	08:54:23.273	37.298143664	-3.683212896	0.8	1	0.00926	0.228771	0.0159	-0.006208	-0.488054	-0.488054	0	0	856	4385	49	4	7	7	78.8	65.5	-43.4	4	1475	0.344467	0.214676	0.31837
339.523	08:54:23.523	37.298175089	-3.683203138	0.8	1	-0.067204	0.206112	0.015951	-0.006186	-0.484749	-0.484749	0	0	856	4385	49	4	9	8	90.6	80.5	-40.9	4	1445	0.344467	0.214676	0.31837
339.773	08:54:23.773	37.298205712	-3.683191568	0.8	1	-0.149096	0.178063	0.01609	-0.006124	-0.475762	-0.475762	0	0	1199	4527	50	4	9	8	90.6	80.5	-40.9	4	1410	0.323603	0.364919	0.413316
340.023	08:54:24.023	37.298235268	-3.683177619	0.8	1	-0.236471	0.144597	0.016332	-0.006008	-0.459838	-0.459838	0	0	1199	4527	50	4	9	8	90.6	80.5	-40.9	4	1379	0.323603	0.364919	0.413316
